eo_id,chunk_id,chunk_length,chunk_text
14322,25,206,attempting to create some guardrails and shelter from litigation colleges have adopted a new regime deciding to pay athletes directly and simulta neously limit the total number of athletes on their campuses
14322,26,234,given that the new roster limits by exceeding the scholarship limits they replace will increase the potential number of scholarships available in many sports this opportunity must be utilized to strengthen and expand nonrevenue sports
14322,27,163,simultaneously the thirdparty market of payforplay inducements must be eliminated before its insatiable demand for resources dries up support for nonrevenue sports
14322,28,47,otherwise a crucial american asset will be lost
14322,29,109,it is the policy of my administration that all college sports should be preserved and where possible expanded
14322,30,219,my administration will therefore provide the stability fairness and balance necessary to protect student athletes collegiate athletic scholarships and opportunities and the special american institution of college sports
14322,31,135,it is common sense that college sports are not and should not be professional sports and my administration will take action accordingly
14322,32,100,protecting and expanding womens and nonrevenue sports and prohibiting thirdparty payforplay payments
14322,33,1310,a it is the policy of the executive branch that opportunities for scholarships and collegiate athletic competition in womens and nonrevenue sports must be preserved and where possible expanded including specifically as follows with respect to the 20252026 athletic season and future athletic seasons i collegiate athletic departments with greater than 125000000 in rev enue during the 20242025 athletic season should provide more scholar ship opportunities in nonrevenue sports than during the 20242025 ath letic season and should provide the maximum number of roster spots for nonrevenue sports permitted under the applicable collegiate athletic rules ii college athletic departments with greater than 50000000 in revenue during the 20242025 athletic season should provide at least as many scholarship opportunities in nonrevenue sports as provided during the 20242025 athletic season and should provide the maximum number of roster spots for nonrevenue sports permitted under the applicable colle giate athletic rules and iii college athletic departments with 50000000 or less in revenue during the 20242025 athletic season or that do not have any revenuegenerating sports should not disproportionately reduce scholarship opportunities or roster spots for sports based on the revenue that the sport generates
14322,34,279,b it is the policy of the executive branch that any revenuesharing per mitted between universities and collegiate athletes should be designed and implemented in a manner that preserves or expands scholarships and colle giate athletic opportunities in womens and nonrevenue sports
14322,35,261,c to preserve the critical educational and developmental benefits of collegiate athletics for our nation it is the policy of the executive branch that thirdparty payforplay payments to collegiate athletes are improper and should not be permitted by universities
14322,36,166,this policy does not apply to compensation provided to an athlete for the fair market value that the athlete provides to a third party such as for a brand endorsement
14322,37,722,d within 30 days of the date of this order the secretary of education in consultation with the attorney general the secretary of health and human services the secretary of education and the chairman of the federal trade commission shall develop a plan to advance the policies set forth in subsections ac of this section through all available and appropriate regulatory enforcement and litigation mechanisms including federal fund ing decisions enforcement of title ix of the education amendments act of 1972 prohibiting unconstitutional actions by states to regulate interstate commerce and enforcement of other constitutional and statutory protections and by working with the congress and state governments as appropriate
14322,38,21,studentathlete status
14322,39,362,the secretary of labor and the national labor relations board shall determine and implement the appropriate meas ures with respect to clarifying the status of collegiate athletes including through guidance rules or other appropriate actions that will maximize the educational benefits and opportunities provided by higher education institutions through athletics
14322,40,53,legal protections for college athletics from lawsuits
14322,41,428,a the attorney general and the chairman of the federal trade commission shall work to stabilize and preserve college athletics through litigation guidelines poli cies or other actions as appropriate by protecting the rights and interests of studentathletes and the longterm availability of collegiate athletic scholar ships and opportunities when such elements are unreasonably challenged under antitrust or other legal theories
14322,42,377,b within 60 days of the date of this order to advance the purposes of subsection a of this section the attorney general and the chairman of the federal trade commission shall i review and as necessary revise litigation positions guidelines policies or other actions and ii develop a plan to implement appropriate future litigation positions guidelines policies or other actions
14322,43,56,protecting development of the united states olympic team
14322,44,411,the assistant to for domestic policy and the director of the white house office of public liaison shall consult the united states olympic and paralympic committee and other appropriate organizations of american athletes about safeguarding the integral role and competitive advantage that american collegiate athletics provide in developing athletes to represent our nation in international athletic competitions
14322,45,18,general provisions
14322,46,297,a nothing in this order shall be construed to impair or otherwise affect i the authority granted by law to an executive department or agency or the head thereof or ii the functions of the director of the office of management and budget relating to budgetary administrative or legislative proposals
14322,47,114,b this order shall be implemented consistent with applicable law and subject to the availability of appropriations
14322,48,259,c this order is not intended to and does not create any right or benefit substantive or procedural enforceable at law or in equity by any party against the united states its departments agencies or entities its officers employees or agents or any other person
14322,49,87,d the costs for publication of this order shall be borne by the department of education
14318,1,72,accelerating federal permitting of data center infrastructure  section 1
14318,2,18,policy and purpose
14318,3,101,my administration has inaugurated a golden age for american manufacturing and technological dominance
14318,4,236,we will pur sue bold largescale industrial plans to vault the united states further into the lead on critical manufacturing processes and technologies that are essential to national security economic prosperity and scientific leadership
14318,5,157,these plans include artificial intelligence ai data centers and infrastructure that powers them including highvoltage transmission lines and other equip ment
14318,6,149,it will be a priority of my administration to facilitate the rapid and efficient buildout of this infrastructure by easing federal regulatory burdens
14318,7,138,in addition my administration will utilize federally owned land and re sources for the expeditious and orderly development of data centers
14318,8,154,this usage will be done in a manner consistent with the lands intended purpose to be used in service of the prosperity and security of the american people
14318,9,11,definitions
14318,10,196,for purposes of this order a data center project means a facility that requires greater than 100 megawatts mw of new load dedicated to ai inference training simulation or synthetic data generation
14318,11,939,b covered components means materials products and infrastructure that are required to build data center projects or otherwise upon which data center projects depend including i energy infrastructure such as transmission lines natural gas pipelines or laterals substations switchyards transformers switchgear and system protective facilities ii natural gas turbines coal power equipment nuclear power equipment geothermal power equipment and any other dispatchable baseload energy sources including electrical infrastructure including backup power sup ply constructed or otherwise used principally to serve a data center project iii semiconductors and semiconductor materials such as wafers dies and packaged integrated circuits iv networking equipment such as switches and routers and v data storage such as hardware storage systems software for data man agement and protection and integrated services that work with public cloud providers
14318,12,177,c covered component project means infrastructure comprising covered components or a facility with the primary purposes of manufacturing or otherwise producing covered components
14318,13,650,d qualifying project means i a data center project or covered component project for which the project sponsor has committed at least 500 million in capital expenditures as determined by the secretary of commerce ii a data center project or covered component project involving an incremental electric load addition of greater than 100 mw iii a data center project or covered component project that protects national security or iv a data center project or covered component project that has otherwise been designated by the secretary of defense the secretary of the interior the secretary of commerce or the secretary of energy as a qualifying project
14318,14,273,e project sponsor means the lead sponsor providing financial and other support for a data center project or covered component project as determined by the secretary of defense the secretary of the interior the secretary of commerce or the secretary of energy as appropriate
14318,15,78,f superfund site means any site where action is being taken pursuant to 42 usc
14318,16,17,9604 9606 or 9620
14318,17,51,g brownfield site means a site as defined in 42 usc
14318,18,6,960139
14318,19,31,encouraging qualifying projects
14318,20,347,the secretary of commerce in consultation with the director of the office of science and technology policy ostp and other relevant executive departments and agencies agen cies shall launch an initiative to provide financial support for qualifying projects which could include loans and loan guarantees grants tax incen tives and offtake agreements
14318,21,215,all relevant agencies shall identify and submit to the director of ostp any such relevant existing financial support that can be used to assist qualifying projects consistent with the protection of national security
14318,22,35,revocation of executive order 14141
14318,23,136,executive order 14141 of january 14 2025 advancing united states leadership in artificial intel ligence infrastructure is hereby revoked
14318,24,31,efficient environmental reviews
14318,25,312,a within 10 days of the date of this order each relevant agency shall identify to the council on environ mental quality any categorical exclusions already established or adopted by such agency pursuant to the national environmental policy act nepa reliance on and adoption of which by agencies pursuant to 42 usc
14318,26,71,4336 and 4336c could facilitate the construction of qualifying projects
14318,27,249,b the council on environmental quality shall coordinate with relevant agencies on the establishment of new categorical exclusions to cover actions related to qualifying projects that normally do not have a significant effect on the human environment
14318,28,141,agencies shall for purposes of establishing these categorical exclusions rely on any sufficient basis to do so as each such agency determines
14318,29,24,c consistent with 42 usc
14318,30,294,4336e10biii loans loan guarantees grants tax incentives or other forms of federal financial assistance for which an agency lacks substantial projectspecific control and responsibility over the subsequent use of such financial assistance shall not be considered a major federal action under nepa
14318,31,196,for purposes of this order federal financial assistance representing less than 50 percent of total project costs shall be presumed not to constitute substantial federal control and responsi bility
14318,32,42,efficiency and transparency through fast41
14318,33,271,a the executive director executive director of the federal permitting improvement steering council fpisc may within 30 days of the date that a project is identified to fpisc by a relevant agency designate a qualifying project as a trans parency project pursuant to 42 usc
14318,34,106,4370m2b2aiii and section 41003 of the fixing americas surface transportation act public law 11494 129 stat
14318,35,16,1312 1747 fast41
14318,36,220,within 30 days of receiving such agency notification the executive director may publish qualifying projects on the permitting dashboard established under section 41003b of fast41 includ ing schedules for expedited review
14318,37,199,b in consultation with project sponsors the executive director shall expedite the transition of eligible qualifying projects from transparency projects to fast41 covered projects as defined by 42 usc
14318,38,7,4370m6a
14318,39,86,to the extent that a qualifying project does not meet the criteria set forth in 42 usc
14318,40,118,4370m6ai or iii fpisc may consider all other available options to designate the project a covered project under 42 usc
14318,41,9,4370m6aiv
14318,42,33,streamlining of permitting review
14318,43,211,a the administrator of the environmental protection agency shall assist in expediting permitting on federal and nonfederal lands by developing or modifying regulations pro mulgated under the clean air act 42 usc
14318,44,38,7401 et seq the clean water act 33 usc
14318,45,90,1251 et seq the comprehensive environmental response compensation and liability act 42 usc
14318,46,52,9601 et seq the toxic sub stances control act 15 usc
14318,47,110,2601 et seq and other relevant applicable laws in each case that impact the development of qualifying projects
14318,48,232,b the administrator of the environmental protection agency shall con sistent with the environmental protection agencys statutory authorities expeditiously identify brownfield sites and superfund sites for use by quali fying projects
14318,49,352,as part of this effort within 180 days of the date of this order the administrator of the environmental protection agency shall de velop guidance to help expedite environmental reviews for qualified reuse and assist state governments and private parties to return such brownfield sites and superfund sites to productive use as expeditiously as possible
14318,50,44,biological and water permitting efficiencies
14318,51,230,a upon identification of sites by the secretary of the interior and the secretary of energy as described in section 9 of this order the action agency as identified through the process described in the endangered species act 16 usc
14318,52,271,15311544 esa shall initiate consultation under section 7 of the esa with the sec retary of the interior the secretary of commerce or both with respect to common construction activities for qualifying projects that will occur over the next 10 years at a programmatic level
14318,53,162,the secretary of the interior and the secretary of commerce shall utilize programmatic consultation to ensure timely and efficient completion of such consultation
14318,54,235,b within 180 days of the date of this order the secretary of the army acting through the assistant secretary of the army for civil works shall review the nationwide permits issued under section 404 of the clean water act of 1972 33 usc
14318,55,78,1344 and section 10 of the rivers and harbors appropriation act of 1899 33 usc
14318,56,157,403 to determine whether an activity specific nationwide permit is needed to facilitate the efficient permitting of activities related to qualifying projects
14318,57,26,federal lands availability
14318,58,427,a the department of the interior and the department of energy shall after consultation with industry and further in consultation with the department of commerce as to the project sponsors to which relevant authorizations shall be granted offer appropriate authoriza tions for sites identified by the secretary of the interior or the secretary of energy as applicable and appropriate for the relevant uses consistent with 42 usc
14318,59,11,2201 42 usc
14318,60,11,7256 43 usc
14318,61,40,1701 et seq and all other applicable law
14318,62,51,b the secretary of defense shall pursuant to 10 usc
14318,63,386,2667 or other applicable law and as and when the secretary of defense deems it necessary or desirable identify suitable sites on military installations for covered component infrastructure uses and competitively lease available lands for qualifying projects to support the department of defenses energy workforce and mission needs subject to security and force protection considerations
14318,64,18,general provisions
14318,65,297,a nothing in this order shall be construed to impair or otherwise affect i the authority granted by law to an executive department or agency or the head thereof or ii the functions of the director of the office of management and budget relating to budgetary administrative or legislative proposals
14318,66,114,b this order shall be implemented consistent with applicable law and subject to the availability of appropriations
14318,67,259,c this order is not intended to and does not create any right or benefit substantive or procedural enforceable at law or in equity by any party against the united states its departments agencies or entities its officers employees or agents or any other person
14318,68,84,d the costs for publication of this order shall be borne by the department of energy
14319,1,55,preventing woke ai in the federal government  section 1
14319,2,7,purpose
14319,3,149,artificial intelligence ai will play a critical role in how americans of all ages learn new skills consume information and navigate their daily lives
14319,4,174,americans will require reliable outputs from ai but when ideological biases or social agendas are built into ai models they can distort the quality and accuracy of the output
14319,5,108,one of the most pervasive and destructive of these ideologies is socalled diversity equity and inclusion dei
14319,6,336,in the ai context dei includes the suppression or distortion of factual information about race or sex manipu lation of racial or sexual representation in model outputs incorporation of concepts like critical race theory transgenderism unconscious bias intersectionality and systemic racism and discrimination on the basis of race or sex
14319,7,145,dei displaces the commitment to truth in favor of preferred outcomes and as recent history illustrates poses an existential threat to reliable ai
14319,8,229,for example one major ai model changed the race or sex of historical figuresincluding the pope the founding fathers and vikingswhen prompted for images because it was trained to prioritize dei requirements at the cost of accuracy
14319,9,157,another ai model refused to produce images cele brating the achievements of white people even while complying with the same request for people of other races
14319,10,135,in yet another case an ai model asserted that a user should not misgender another person even if necessary to stop a nuclear apocalypse
14319,11,264,while the federal government should be hesitant to regulate the functionality of ai models in the private marketplace in the context of federal procure ment it has the obligation not to procure models that sacrifice truthfulness and accuracy to ideological agendas
14319,12,216,building on executive order 13960 of december 3 2020 promoting the use of trustworthy artificial intelligence in the federal government this order helps fulfill that obligation in the context of large language models
14319,13,11,definitions
14319,14,158,for purposes of this order a the term agency means an executive department a military depart ment or any independent establishment within the meaning of 5 usc
14319,15,103,101 102 and 1041 respectively and any wholly owned government cor poration within the meaning of 31 usc
14319,16,4,9101
14319,17,173,b the term agency head means the highestranking official or officials of an agency such as the secretary administrator chair man director commissioners or board of directors
14319,18,183,c the term llm means a large language model which is a generative ai model trained on vast diverse datasets that enable the model to generate naturallanguage responses to user prompts
14319,19,69,d the term national security system has the same meaning as in 44 usc
14319,20,6,3552b6
14319,21,22,unbiased ai principles
14319,22,89,it is the policy of the united states to promote the innovation and use of trustworthy ai
14319,23,268,to advance that policy agency heads shall consistent with applicable law and in consideration of guidance issued pursuant to section 4 of this order procure only those llms developed in accordance with the following two principles unbiased ai principles a truthseeking
14319,24,92,llms shall be truthful in responding to user prompts seeking factual information or analysis
14319,25,169,llms shall prioritize historical accu racy scientific inquiry and objectivity and shall acknowledge uncertainty where reliable information is incomplete or contradictory
14319,26,24,b ideological neutrality
14319,27,115,llms shall be neutral nonpartisan tools that do not manipulate responses in favor of ideological dogmas such as dei
14319,28,183,developers shall not intentionally encode partisan or ideological judgments into an llms outputs unless those judgments are prompted by or otherwise readily accessible to the end user
14319,29,14,implementation
14319,30,341,a within 120 days of the date of this order the director of the office of management and budget omb in consultation with the administrator for federal procurement policy the administrator of general services and the director of the office of science and technology policy shall issue guidance to agencies to implement section 3 of this order
14319,31,835,that guidance shall i account for technical limitations in complying with this order ii permit vendors to comply with the requirement in the second unbiased ai principle to be transparent about ideological judgments through disclo sure of the llms system prompt specifications evaluations or other relevant documentation and avoid requiring disclosure of specific model weights or other sensitive technical data where practicable iii avoid overprescription and afford latitude for vendors to comply with the unbiased ai principles and take different approaches to innova tion iv specify factors for agency heads to consider in determining whether to apply the unbiased ai principles to llms developed by the agencies and to ai models other than llms and v make exceptions as appropriate for the use of llms in national security systems
14319,32,842,b each agency head shall to the maximum extent consistent with applica ble law i include in each federal contract for an llm entered into following the date of the omb guidance issued under subsection a of this section terms requiring that the procured llm comply with the unbiased ai principles and providing that decommissioning costs shall be charged to the vendor in the event of termination by the agency for the vendors noncompliance with the contract following a reasonable period to cure ii to the extent practicable and consistent with contract terms revise existing contracts for llms to include the terms specified in subsection bi of this section and iii within 90 days of the omb guidance issued under subsection a of this section adopt procedures to ensure that llms procured by the agency comply with the unbiased ai principles
14319,33,18,general provisions
14319,34,297,a nothing in this order shall be construed to impair or otherwise affect i the authority granted by law to an executive department or agency or the head thereof or ii the functions of the director of the office of management and budget relating to budgetary administrative or legislative proposals
14319,35,114,b this order shall be implemented consistent with applicable law and subject to the availability of appropriations
14319,36,259,c this order is not intended to and does not create any right or benefit substantive or procedural enforceable at law or in equity by any party against the united states its departments agencies or entities its officers employees or agents or any other person
14319,37,95,d the costs for publication of this order shall be borne by the general services administration
14320,1,119,promoting the export of the american ai technology stack  including section 301 of title 3 united states code section 1
14320,2,7,purpose
14320,3,167,artificial intelligence ai is a foundational technology that will define the future of economic growth national security and global competitiveness for decades to come
14320,4,287,the united states must not only lead in developing generalpurpose and frontier ai capabilities but also ensure that american ai technologies standards and governance models are adopted worldwide to strengthen relationships with our allies and secure our continued technological dominance
14320,5,157,this order establishes a coordinated national effort to support the american ai industry by promoting the export of fullstack american ai technology packages
14320,6,6,policy
14320,7,248,it is the policy of the united states to preserve and extend american leadership in ai and decrease international dependence on ai technologies developed by our adversaries by supporting the global deploy ment of united statesorigin ai technologies
14320,8,48,establishment of the american ai exports program
14320,9,339,a within 90 days of the date of this order the secretary of commerce shall in consultation with the secretary of state and the director of the office of science and technology policy ostp establish and implement the american ai exports program program to support the development and deployment of united states fullstack ai export packages
14320,10,123,b the secretary of commerce shall issue a public call for proposals from industryled consortia for inclusion in the program
14320,11,1165,the public call shall require that each proposal must i include a fullstack ai technology package which encompasses a aioptimized computer hardware eg chips servers and accelera tors data center storage cloud services and networking as well as a description of whether and to what extent such items are manufactured in the united states b data pipelines and labeling systems c ai models and systems d measures to ensure the security and cybersecurity of ai models and systems and e ai applications for specific use cases eg software engineering education healthcare agriculture or transportation ii identify specific target countries or regional blocs for export engage ment iii describe a business and operational model to explain at a high level which entities will build own and operate data centers and associ ated infrastructure iv detail requested federal incentives and support mechanisms and v comply with all relevant united states export control regimes outbound investment regulations and enduser policies including chapter 58 of title 50 united states code and relevant guidance from the bureau of industry and security within the department of commerce
14320,12,213,c the department of commerce shall require proposals to be submitted no later than 90 days after the public call for proposals is issued and shall consider proposals on a rolling basis for inclusion in the program
14320,13,212,d the secretary of commerce shall in consultation with the secretary of state the secretary of defense the secretary of energy and the director of ostp evaluate submitted proposals for inclusion under the program
14320,14,346,proposals selected by the secretary of commerce in consultation with the secretary of state the secretary of defense the secretary of energy and the director of ostp will be designated as priority ai export packages and will be supported through priority access to the tools identified in section 4 of this order as consistent with applicable law
14320,15,39,mobilization of federal financing tools
14320,16,460,a the economic diplomacy action group edag established in ial memorandum of june 21 2024 chaired by the secretary of state in consultation with the secretary of commerce and the united states trade representative and as described in section 708 of the championing american business through diplomacy act of 2019 title vii of division j of public law 11694 cabda shall coordinate mobilization of federal financing tools in support of priority ai export packages
14320,17,255,b i delegate to the administrator of the small business administration and the director of ostp the authority under section 708c3 of cabda to appoint senior officials from their respective executive departments and agencies to serve as members of the edag
14320,18,1104,c the secretary of state in consultation with the edag shall be respon sible for i developing and executing a unified federal government strategy to promote the export of american ai technologies and standards ii aligning technical financial and diplomatic resources to accelerate deployment of priority ai export packages under the program iii coordinating united states participation in multilateral initiatives and countryspecific partnerships for ai deployment and export promotion iv supporting partner countries in fostering proinnovation regulatory data and infrastructure environments conducive to the deployment of american ai systems v analyzing market access including technical barriers to trade and regulatory measures that may impede the competitiveness of united states offerings and vi coordinating with the small business administrations office of invest ment and innovation to facilitate to the extent permitted under applicable law investment in united states small businesses to the development of american ai technologies and the manufacture of ai infrastructure hardware and systems
